
SUMMARY
=======
Min RR, 3.000000
Max RR, 23.000000
Min WinRate, 28.00%
Max WinRate, 31.00%
Final Balance,"21,694,843"
=======

trade_num,outcome,rrr,actual_risk_pct,risk_amount,amount,start_balance,end_balance
157        , Loss     , 1.0  , 1.66             , 14139        , -14139   , 849625         , 835486     
158        , Loss     , 1.1  , 1.66             , 13904        , -13904   , 835486         , 821582     
159        , Loss     , 1.3  , 1.66             , 13673        , -13673   , 821582         , 807909     
160        , Loss     , 1.2  , 1.66             , 13445        , -13445   , 807909         , 794464     
161        , Loss     , 1.2  , 1.66             , 13221        , -13221   , 794464         , 781243     
162        , Win      , 12.7 , 1.66             , 13001        , 115852   , 781243         , 897095     
163        , Loss     , 1.0  , 1.66             , 14930        , -14930   , 897095         , 882165     
164        , Loss     , 1.2  , 1.66             , 14681        , -14681   , 882165         , 867484     
165        , Loss     , 1.2  , 1.66             , 14437        , -14437   , 867484         , 853047     
166        , Loss     , 1.0  , 1.66             , 14196        , -14196   , 853047         , 838851     
167        , Loss     , 1.2  , 1.66             , 13960        , -13960   , 838851         , 824891     
168        , Win      , 6.6  , 1.66             , 13728        , 63616    , 824891         , 888507     
169        , Loss     , 1.1  , 1.66             , 14787        , -14787   , 888507         , 873720     
170        , Win      , 11.5 , 1.66             , 14540        , 116742   , 873720         , 990462     
171        , Win      , 23.0 , 1.66             , 16483        , 265377   , 990462         , 1255839    
172        , Loss     , 1.2  , 1.66             , 20900        , -20900   , 1255839        , 1234939    
173        , Loss     , 1.1  , 1.66             , 20552        , -20552   , 1234939        , 1214387    
174        , Loss     , 1.2  , 1.66             , 20210        , -20210   , 1214387        , 1194177    
175        , Win      , 8.6  , 1.66             , 19874        , 120198   , 1194177        , 1314375    
176        , Loss     , 1.0  , 1.66             , 21874        , -21874   , 1314375        , 1292501    
177        , Loss     , 1.2  , 1.66             , 21510        , -21510   , 1292501        , 1270991    
178        , Win      , 23.0 , 1.66             , 21152        , 340548   , 1270991        , 1611539    
179        , Win      , 11.4 , 1.66             , 26820        , 213461   , 1611539        , 1825000    
180        , Loss     , 1.1  , 1.66             , 30372        , -30372   , 1825000        , 1794628    
181        , Win      , 23.0 , 1.66             , 29867        , 480859   , 1794628        , 2275487    
182        , Win      , 6.6  , 1.66             , 37870        , 175490   , 2275487        , 2450977    
183        , Win      , 9.2  , 1.66             , 40790        , 262402   , 2450977        , 2713379    
184        , Loss     , 1.0  , 1.66             , 45157        , -45157   , 2713379        , 2668222    
185        , Loss     , 1.2  , 1.66             , 44406        , -44406   , 2668222        , 2623816    
186        , Loss     , 1.1  , 1.66             , 43667        , -43667   , 2623816        , 2580149    
187        , Loss     , 1.3  , 1.66             , 42940        , -42940   , 2580149        , 2537209    
188        , Loss     , 1.1  , 1.66             , 42225        , -42225   , 2537209        , 2494984    
189        , Loss     , 1.0  , 1.66             , 41523        , -41523   , 2494984        , 2453461    
190        , Loss     , 1.1  , 1.66             , 40832        , -40832   , 2453461        , 2412629    
191        , Win      , 11.2 , 1.66             , 40152        , 313386   , 2412629        , 2726015    
192        , Loss     , 1.0  , 1.66             , 45368        , -45368   , 2726015        , 2680647    
193        , Loss     , 1.1  , 1.66             , 44612        , -44612   , 2680647        , 2636035    
